-0.2438,0,0,0,0,0,0,-0.64499,0,0,0,0,0,0
0,0,0,0,0,-0.82677,0,0,0,0,0,0,-0.07719,0
0.71355,0,0,0,0,0,0,-1.1775,0,0,0,0,0,0
-0.34186,0,0,0,0,0,0,-0.32798,0,0,0,0,0,0
0,0,-0.50835,0,0,0,0,0,0,0.5344,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.12319,0,0,0,0,0,0,-0.41698,0
0,0,0.18963,0,0,0,0,0,0,-0.15849,0,0,0,0
-0.19888,0.11856,0.52263,0,0,0,0,0.06033,-0.65934,0.57735,0,0,0,0
0,0,0,0,0,-0.97833,0,0,0,0,0,0,0.01895,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03322,0,0,0,0,0,0,-0.17578,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.51102,0,0,0,0,0,0,0.47972,0,0,0,0,0,0
0.31592,0,0,0,0,0,0,0.00023,0,0,0,0,0,0
0,0,0,0,0,0.42757,0,0,0,0,0,0,0.04222,0
0,0,0,0,0,0.55446,0,0,0,0,0,0,0.15409,0
0,0,0,0,0,-0.05567,0,0,0,0,0,0,-0.32203,0
0,0.00609,0,0,0,0,0,0,-1.01423,0,0,0,0,0
0.72309,0.16646,0,0,0,0,0,-0.16317,0.48909,0,0,0,0,0
0,0,0,0,0,0.8659,0,0,0,0,0,0,0.38587,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.46924,2.86929,1.35136,-3.52129,-2.9347,-0.51118,-0.31931,-0.14679,-0.09837,-0.95122,-1.75068,0.06514,-0.1482,-0.51097
1.6427,0.30451,4.25379,3.49935,0.04227,1.69393,5.01393,0.47526,0.09373,2.23133,0.01861,0.9614,0.755,4.23744
4.97035,1.02183,5.95264,0.63089,1.66578,0.50693,0.57948,0.59901,1.80185,1.98393,2.15026,1.12504,0.48816,2.58484
